dataset,model,algorithm,budget,n_trials,mean_estimate,empirical_variance,empirical_std,mean_time,feature_idx
iris,random_forest,mc,100,30,0.0,0.0,0.0,1.7768104235331217,0
iris,random_forest,ps,100,30,0.0,0.0,0.0,2.63620396455129,0
iris,random_forest,mc,500,30,0.0,0.0,0.0,6.946223815282186,0
iris,random_forest,ps,500,30,0.0,0.0,0.0,2.2182326316833496,0
iris,random_forest,mc,1000,30,0.0,0.0,0.0,5.561759225527445,0
iris,random_forest,ps,1000,30,0.0,0.0,0.0,24.34034005800883,0
iris,random_forest,mc,2500,30,0.0,0.0,0.0,12.249256364504497,0
iris,random_forest,ps,2500,30,0.0,0.0,0.0,14.295579600334168,0
iris,random_forest,mc,5000,30,0.0,0.0,0.0,39.05364956061045,0
iris,random_forest,ps,5000,30,0.0,0.0,0.0,20.104487204551695,0
iris,neural_net,mc,100,30,0.1316300977673795,0.00028580657816339026,0.016905814921599913,0.013539791107177734,0
iris,neural_net,ps,100,30,0.1298028950364303,5.442219280005483e-05,0.007377139879387867,0.01393739382425944,0
iris,neural_net,mc,500,30,0.1324429772215668,5.974319693133186e-05,0.007729372350413186,0.0601651668548584,0
iris,neural_net,ps,500,30,0.13101888046033122,1.8074652587203046e-05,0.00425142947574143,0.06250884532928466,0
iris,neural_net,mc,1000,30,0.1305872271332238,3.3289181848648606e-05,0.005769677794179551,0.11734286149342855,0
iris,neural_net,ps,1000,30,0.13124062056270994,5.3854266852955775e-06,0.0023206522111888237,0.12866360346476238,0
iris,neural_net,mc,2500,30,0.1312354831515839,1.05422741002762e-05,0.0032468868320710224,0.291451629002889,0
iris,neural_net,ps,2500,30,0.1312385528079651,2.7948876609354067e-06,0.001671791751665083,0.30896640618642174,0
iris,neural_net,mc,5000,30,0.13110309093006778,5.478815269373024e-06,0.002340686922544966,0.5816182533899943,0
iris,neural_net,ps,5000,30,0.13078930228192004,1.6203938692480602e-06,0.001272946923185747,0.6224886655807496,0
california_housing,xgboost,mc,100,30,-0.12659153011441232,0.0020228845575603993,0.044976488942117296,0.1703654686609904,0
california_housing,xgboost,ps,100,30,-0.12772575944739703,0.0007374414867052405,0.027155873889551787,0.1639481544494629,0
california_housing,xgboost,mc,500,30,-0.13417910848855968,0.0004823252582109529,0.021961904703621516,0.8934405008951823,0
california_housing,xgboost,ps,500,30,-0.13085741060360345,0.0003402086252714101,0.018444745193995228,0.8691034555435181,0
california_housing,xgboost,mc,1000,30,-0.13421779580997925,0.0002093584667497106,0.01446922481509326,1.6245237668355306,0
california_housing,xgboost,ps,1000,30,-0.13122808428245286,0.0001835855439501283,0.013549374301056426,1.4610057830810548,0
california_housing,xgboost,mc,2500,30,-0.13287889726017912,7.911785997080725e-05,0.008894822087642184,4.049461364746094,0
california_housing,xgboost,ps,2500,30,-0.13044008077231722,4.1828911538195186e-05,0.006467527467138828,3.963006281852722,0
california_housing,xgboost,mc,5000,30,-0.13287034920933344,3.431399738815365e-05,0.005857815069473741,7.938843743006388,0
california_housing,xgboost,ps,5000,30,-0.13124325801347694,1.0350705302041408e-05,0.003217251202819172,8.13760276635488,0
adult_income,random_forest,mc,100,30,0.015448109609088573,1.3398214694238646e-05,0.0036603571812377335,0.4434703588485718,0
adult_income,random_forest,ps,100,30,0.015249333702564032,2.5276611126184996e-06,0.0015898619791096646,0.41891016165415446,0
adult_income,random_forest,mc,500,30,0.015234365732697928,1.9195027596709995e-06,0.0013854612082880558,2.071755862236023,0
adult_income,random_forest,ps,500,30,0.015234944306279112,6.56589621578551e-07,0.000810302179176726,1.9908205270767212,0
adult_income,random_forest,mc,1000,30,0.015163451879169973,1.6091134684095664e-06,0.0012685083635552295,4.121420780817668,0
adult_income,random_forest,ps,1000,30,0.015158227067766282,2.744999269484066e-07,0.000523927406181817,4.19246453444163,0
adult_income,random_forest,mc,2500,30,0.015282202387110498,6.611471833828023e-07,0.0008131095764918787,10.565110405286154,0
adult_income,random_forest,ps,2500,30,0.01521317084451914,1.753973637942609e-07,0.0004188046845419245,10.404873522122701,0
adult_income,random_forest,mc,5000,30,0.015238754542445677,2.1438385688205946e-07,0.0004630160438711163,20.57196660041809,0
adult_income,random_forest,ps,5000,30,0.015262784644320591,8.415114010837697e-08,0.00029008815920057295,20.45966916879018,0
mnist_pca,svm,mc,100,30,-4.437166284060821e-05,4.506660532921893e-09,6.713166564983989e-05,0.03413172562917074,0
mnist_pca,svm,ps,100,30,-3.539579781880444e-05,4.387814898951442e-09,6.624058347381492e-05,0.036719536781311034,0
