dataset,model,budget,mc_variance,ps_variance,vrf,mc_time,ps_time,time_ratio
adult_income,random_forest,100,1.3398214694238646e-05,2.5276611126185e-06,5.300637267928265,0.4434703588485718,0.4189101616541544,1.0586287930983491
adult_income,random_forest,500,1.9195027596709995e-06,6.56589621578551e-07,2.923443649712578,2.071755862236023,1.9908205270767207,1.0406542599187212
adult_income,random_forest,1000,1.6091134684095664e-06,2.744999269484066e-07,5.861981408512381,4.121420780817668,4.19246453444163,0.9830544175054247
adult_income,random_forest,2500,6.611471833828023e-07,1.753973637942609e-07,3.769424859533923,10.565110405286154,10.4048735221227,1.015400175967806
adult_income,random_forest,5000,2.1438385688205946e-07,8.415114010837698e-08,2.547604900016301,20.57196660041809,20.45966916879018,1.0054887217726478
california_housing,xgboost,100,0.0020228845575603,0.0007374414867052,2.743111954005063,0.1703654686609904,0.1639481544494629,1.0391423388270322
california_housing,xgboost,500,0.0004823252582109,0.0003402086252714,1.4177337738751539,0.8934405008951823,0.8691034555435181,1.0280024721987147
california_housing,xgboost,1000,0.0002093584667497,0.0001835855439501,1.1403864500715006,1.6245237668355306,1.4610057830810548,1.111921517113806
california_housing,xgboost,2500,7.911785997080725e-05,4.182891153819519e-05,1.8914635131866253,4.049461364746094,3.963006281852722,1.0218155301164331
california_housing,xgboost,5000,3.431399738815365e-05,1.0350705302041408e-05,3.3151361561212744,7.938843743006388,8.13760276635488,0.9755752364602674
iris,random_forest,100,0.0,0.0,inf,1.7768104235331217,2.63620396455129,0.6740033955739664
iris,random_forest,500,0.0,0.0,inf,6.946223815282186,2.2182326316833496,3.1314226091836486
iris,random_forest,1000,0.0,0.0,inf,5.561759225527445,24.34034005800883,0.22849965170052872
iris,random_forest,2500,0.0,0.0,inf,12.249256364504497,14.295579600334168,0.8568562245785517
iris,random_forest,5000,0.0,0.0,inf,39.05364956061045,20.104487204551692,1.9425339807607047
mnist_pca,svm,100,4.506660532921893e-09,4.387814898951442e-09,1.0270853800142872,0.0341317256291707,0.036719536781311,0.9295249510484728
mnist_pca,svm,500,1.078267860126381e-09,8.80051329119163e-10,1.2252329204543235,0.1641261180241902,0.1729337294896443,0.9490694412741412
mnist_pca,svm,1000,6.696910408125092e-10,4.729706884999728e-10,1.4159250395334968,0.3274877627690633,0.3410490751266479,0.9602364781298742
mnist_pca,svm,2500,1.6558237312371427e-10,1.1141062252322051e-10,1.4862350588625706,0.8100391944249471,0.8410854816436768,0.9630878336431893
mnist_pca,svm,5000,7.070180937597643e-11,5.0370173483799154e-11,1.4036443491447703,1.6767115354537965,1.709723671277364,0.98069153724771
synthetic_svm,neural_net,100,0.0001506281217087,7.33412991719381e-05,2.053796747662924,0.0334895531336466,0.0396130005518595,0.845418238131283
synthetic_svm,neural_net,500,3.427024153515603e-05,1.3759642223737454e-05,2.490634638452641,0.1672702471415202,0.1770877758661906,0.9445612285961024
synthetic_svm,neural_net,1000,1.2045108135568178e-05,1.086433547253446e-05,1.1086833765414155,0.3230995337168376,0.3413491646448771,0.9465367640579243
synthetic_svm,neural_net,2500,4.366559668806549e-06,3.183506271904765e-06,1.371619621843539,0.8262613614400228,0.8607161601384481,0.9599696156594956
synthetic_svm,neural_net,5000,2.668249838678274e-06,2.0002378797279725e-06,1.333966257573899,1.6413686513900756,1.7273618936538695,0.95021700861891
