dataset,model,task,train_time,accuracy,f1_score,mse,r2
iris,logistic,classification,0.012984752655029297,0.9666666666666667,0.9665831244778613,,
iris,random_forest,classification,0.06658720970153809,0.9,0.8997493734335839,,
iris,xgboost,classification,0.06799936294555664,0.9333333333333333,0.9333333333333333,,
iris,neural_net,classification,0.5958456993103027,1.0,1.0,,
iris,svm,classification,0.003990650177001953,0.9666666666666667,0.9665831244778613,,
iris,decision_tree,classification,0.0030214786529541016,0.9333333333333333,0.9333333333333333,,
california_housing,linear,regression,0.011131048202514648,,,0.5558915986952424,0.5757877060324523
california_housing,random_forest,regression,6.047437906265259,,,0.29649278336294826,0.7737402686595128
california_housing,xgboost,regression,0.25351524353027344,,,0.2225899267544737,0.8301370561019205
california_housing,neural_net,regression,17.059559106826782,,,0.7841670765482351,0.40158600134066136
california_housing,svm,regression,41.338109731674194,,,1.3320115421348744,-0.01648536010717372
california_housing,decision_tree,regression,0.36783528327941895,,,0.4154681981618525,0.6829476865157171
adult_income,logistic,classification,0.05297207832336426,0.824,0.8239302814111773,,
adult_income,random_forest,classification,3.10237717628479,0.938,0.9379913191319132,,
adult_income,xgboost,classification,0.5872159004211426,0.952,0.9519907826727049,,
adult_income,neural_net,classification,28.227655172348022,0.964,0.964000144000576,,
adult_income,svm,classification,2.4766669273376465,0.963,0.9630001110001111,,
adult_income,decision_tree,classification,0.20748019218444824,0.884,0.8839888632872503,,
mnist_pca,logistic,classification,0.4834766387939453,0.5525,0.5532825867298025,,
mnist_pca,random_forest,classification,3.2425389289855957,0.6575,0.6561294420611277,,
mnist_pca,xgboost,classification,5.347850322723389,0.66,0.6573564422590497,,
mnist_pca,neural_net,classification,8.305526971817017,0.7075,0.707028334644518,,
mnist_pca,svm,classification,3.4880733489990234,0.8275,0.8274701990547578,,
mnist_pca,decision_tree,classification,0.30395936965942383,0.27,0.2653934517093026,,
synthetic_svm,logistic,classification,0.050588369369506836,0.85,0.84998499849985,,
synthetic_svm,random_forest,classification,1.8232448101043701,0.87,0.8699479791916767,,
synthetic_svm,xgboost,classification,0.8150393962860107,0.845,0.8449961249031226,,
synthetic_svm,neural_net,classification,3.188236951828003,0.905,0.9049786201895427,,
synthetic_svm,svm,classification,0.6207051277160645,0.94,0.94,,
synthetic_svm,decision_tree,classification,0.21836304664611816,0.625,0.624765478424015,,
non_submodular,linear,regression,0.007016658782958984,,,3.5789893059643503,-0.060080461352178594
non_submodular,random_forest,regression,1.141240119934082,,,1.6171773355486008,0.5209993801602815
non_submodular,xgboost,regression,0.49281835556030273,,,1.343673506257795,0.6020099786141548
non_submodular,neural_net,regression,4.550341844558716,,,0.7175308785618968,0.7874705958152125
non_submodular,svm,regression,0.03674674034118652,,,1.0830797538954888,0.6791966706138657
non_submodular,decision_tree,regression,0.017985820770263672,,,3.6556712787251304,-0.08279331520904143
